ncbi_gene_id,Index,Score,claim_name
5594,14474,0.00053095847,MAPK1
5595,15028,0.00052655186,MAPK3
3265,9381,0.00046485255,HRAS
2885,10822,0.00044216836,GRB2
5290,13306,0.0004389497,PIK3CA
207,6300,0.00041713804,AKT1
5295,13731,0.0003946546,PIK3R1
6654,21611,0.00038687154,SOS1
5604,14577,0.00038316956,MAP2K1
3845,10561,0.00037135548,KRAS
5894,17050,0.0003598716,RAF1
4893,12368,0.0003484279,NRAS
3725,10092,0.00031452073,JUN
4790,12176,0.00031144806,NFKB1
5605,14573,0.0003037298,MAP2K2
1956,5320,0.00027519578,EGFR
2353,6803,0.0002751637,FOS
208,6272,0.00026601052,AKT2
4609,12735,0.0002655099,MYC
10000,637,0.0002576471,AKT3
5970,15913,0.0002571367,RELA
6714,17754,0.00025605474,SRC
5599,14949,0.000254443,MAPK8
595,16002,0.00025362262,CCND1
7316,21358,0.00025200198,UBC
5879,16999,0.00025102284,RAC1
5291,13721,0.00025001966,PIK3CB
6233,19475,0.00024965729,RPS27A
5293,13499,0.00024783934,PIK3CD
5578,14927,0.00024045457,PRKCA
6464,16480,0.00023935105,SHC1
673,17211,0.00023908023,BRAF
4792,13932,0.00023645294,NFKBIA
7157,17854,0.00023643248,TP53
6772,17622,0.00023400686,STAT1
1026,1822,0.00023077667,CDKN1A
6774,17404,0.00023021606,STAT3
7314,17808,0.00022569696,UBB
5781,17737,0.00022555674,PTPN11
1432,4614,0.00022457412,MAPK14
5335,15768,0.00022269826,PLCG1
7311,17807,0.00022021374,UBA52
5296,13596,0.00021486937,PIK3R2
3551,11531,0.00021038407,IKBKB
1147,4369,0.0002087028,CHUK
5579,14781,0.00020797174,PRKCB
3569,10037,0.00020201235,IL6
387,12492,0.00019882956,RHOA
2475,7055,0.0001966629,MTOR
7124,17651,0.00019565117,TNF
2534,6990,0.00019179804,FYN
1385,5091,0.00019091116,CREB1
369,10436,0.00019080154,ARAF
2932,9588,0.0001878499,GSK3B
596,15847,0.00018650824,BCL2
3717,10681,0.00018554849,JAK2
8517,21938,0.0001832834,IKBKG
1950,6302,0.00018321008,EGF
7422,19110,0.00017999299,VEGFA
3716,10338,0.00017957475,JAK1
5294,13434,0.00017936772,PIK3CG
7040,18267,0.00017819162,TGFB1
983,22273,0.0001781792,CDK1
6776,18352,0.00017817023,STAT5A
1499,5010,0.00017806716,CTNNB1
801,20166,0.00017799625,CALM1
2033,7910,0.00017731334,EP300
3576,10146,0.00017667472,CXCL8
8503,20587,0.00017531832,PIK3R3
5925,16993,0.000173826,RB1
572,16553,0.00017374939,BAD
998,22750,0.00016810479,CDC42
5601,15534,0.00016725506,MAPK9
1869,5730,0.00016640985,E2F1
2002,8956,0.00016420774,ELK1
1387,5613,0.00016373298,CREBBP
6777,19182,0.00016270771,STAT5B
2335,8083,0.00016202468,FN1
836,19932,0.00016127579,CASP3
5170,14557,0.00016077788,PDPK1
3688,10635,0.0001603435,ITGB1
1017,1796,0.0001581894,CDK2
3553,10310,0.00015698835,IL1B
5058,13827,0.00015693204,PAK1
5566,14412,0.00015671505,PRKACA
5567,17279,0.00015665738,PRKACB
891,21766,0.00015597786,CCNB1
4067,11952,0.00015566351,LYN
2247,7479,0.00015552214,FGF2
2549,11638,0.00015446049,GAB1
5728,15167,0.00015416094,PTEN
3320,9548,0.00015308172,HSP90AA1
5747,15492,0.00015259652,PTK2
6655,17001,0.00015254311,SOS2
581,16890,0.00015252079,BAX
1027,1799,0.00015156252,CDKN1B
1019,1492,0.00015074918,CDK4
4233,11628,0.00015003896,MET
4193,11517,0.00014972578,MDM2
5515,14971,0.00014750245,PPP2CA
894,21298,0.00014728615,CCND2
3667,10869,0.00014721487,IRS1
6416,17700,0.00014688731,MAP2K4
842,21795,0.00014672209,CASP9
4214,15385,0.00014665665,MAP3K1
867,20811,0.00014660519,CBL
5111,14688,0.00014654054,PCNA
890,22641,0.00014605765,CCNA2
5054,13504,0.00014511363,SERPINE1
4088,11362,0.00014507124,SMAD3
5156,13655,0.00014372163,PDGFRA
5580,15237,0.00014340824,PRKCD
898,22083,0.00014276309,CCNE1
2064,5616,0.00014266472,ERBB2
2260,6002,0.0001424759,FGFR1
1647,7889,0.00014186442,GADD45A
3480,9872,0.00014088751,IGF1R
5698,16416,0.00014033097,PSMB9
841,22064,0.00014032441,CASP8
1839,6459,0.0001402471,HBEGF
3065,9854,0.00014010066,HDAC1
5696,16232,0.00013985409,PSMB8
1958,9560,0.0001396794,EGR1
6198,15880,0.00013953166,RPS6KB1
5608,15315,0.00013946222,MAP2K6
355,10377,0.00013936327,FAS
1029,1556,0.00013921937,CDKN2A
5743,16014,0.00013824407,PTGS2
3932,11324,0.00013821777,LCK
5606,17295,0.00013817327,MAP2K3
5684,17238,0.00013815488,PSMA3
5568,14885,0.00013752391,PRKACG
7042,17837,0.00013719671,TGFB2
7979,20965,0.00013666121,SEM1
4318,12753,0.00013657023,MMP9
7057,18285,0.00013626176,THBS1
7846,18557,0.00013609933,TUBA1A
5693,15390,0.0001360822,PSMB5
7280,18199,0.0001358951,TUBB2A
5714,16921,0.00013582579,PSMD8
5600,14659,0.00013573407,MAPK11
5602,14853,0.00013555227,MAPK10
23236,7283,0.0001354189,PLCB1
598,16315,0.00013538782,BCL2L1
10213,3204,0.00013509754,PSMD14
1386,6843,0.0001348852,ATF2
999,24914,0.0001346949,CDH1
4089,11796,0.00013460421,SMAD4
5692,16771,0.00013437637,PSMB4
5690,16395,0.00013432941,PSMB2
5686,15345,0.00013431614,PSMA5
2309,8816,0.00013424028,FOXO3
5683,14879,0.00013413024,PSMA2
7277,17965,0.00013391399,TUBA4A
5717,17499,0.00013353408,PSMD11
5706,17233,0.000133425,PSMC6
5336,13258,0.00013328624,PLCG2
6347,18207,0.00013315001,CCL2
3708,13448,0.00013302664,ITPR1
5694,16784,0.00013297414,PSMB6
5718,16375,0.00013292498,PSMD12
5708,17420,0.0001327643,PSMD2
7852,18312,0.00013273043,CXCR4
6696,18800,0.0001326856,SPP1
960,22266,0.00013254781,CD44
5687,15345,0.00013244901,PSMA6
60,16945,0.00013215127,ACTB
2246,8526,0.00013210019,FGF1
5682,16316,0.00013187526,PSMA1
857,20503,0.00013183648,CAV1
5695,16212,0.00013182202,PSMB7
7153,17665,0.00013171491,TOP2A
5691,17128,0.00013167983,PSMB3
5685,17254,0.00013165503,PSMA4
5688,17279,0.00013153988,PSMA7
3479,10847,0.00013145834,IGF1
1277,5480,0.00013140825,COL1A1
5700,17384,0.00013131881,PSMC1
5707,16294,0.0001313057,PSMD1
1398,5211,0.00013125449,CRK
1278,4928,0.00013099024,COL1A2
5701,16615,0.00013072966,PSMC2
5702,17569,0.00013065698,PSMC3
7128,21494,0.00013052922,TNFAIP3
2263,6294,0.00013046856,FGFR2
330,11107,0.00013015684,BIRC3
5705,17765,0.00013015495,PSMC5
5710,16306,0.00013003995,PSMD4
4791,13601,0.0001295648,NFKB2
5704,16396,0.00012948754,PSMC4
5713,16515,0.00012945694,PSMD7
7039,18061,0.00012934938,TGFA
2770,12185,0.00012932613,GNAI1
5689,16167,0.00012931367,PSMB1
10197,4418,0.00012929163,PSME3
3458,10961,0.00012916059,IFNG
2776,8562,0.00012911925,GNAQ
6850,17385,0.0001291006,SYK
9861,24415,0.00012881016,PSMD6
332,9670,0.00012860126,BIRC5
5699,17379,0.00012836637,PSMB10
3726,10925,0.00012828356,JUNB
6195,16592,0.00012811561,RPS6KA1
5721,18746,0.0001280299,PSME2
5709,17760,0.00012795396,PSMD3
5719,17512,0.00012775611,PSMD13
1848,6765,0.00012757935,DUSP6
3014,11622,0.00012752312,H2AX
2778,9625,0.00012681657,GNAS
1490,5972,0.00012677592,CCN2
7409,20235,0.00012672739,VAV1
6387,16109,0.00012664488,CXCL12
4313,11687,0.00012645377,MMP2
3685,11339,0.00012630296,ITGAV
5715,18383,0.00012622858,PSMD9
5720,16968,0.0001262232,PSME1
472,13156,0.00012573074,ATM
9021,22483,0.00012570899,SOCS3
5777,17551,0.00012527985,PTPN6
672,17361,0.00012516057,BRCA1
1843,7087,0.00012490789,DUSP1
374,10526,0.00012469474,AREG
1021,1708,0.00012462992,CDK6
6241,16958,0.00012402165,RRM2
2069,6531,0.00012401177,EREG
6790,18327,0.00012391467,AURKA
5577,17281,0.00012382327,PRKAR2B
7189,17522,0.00012378374,TRAF6
5530,16132,0.00012374383,PPP3CA
5159,13014,0.00012372293,PDGFRB
5154,16694,0.00012369365,PDGFA
3082,9613,0.00012360932,HGF
5716,17986,0.00012356364,PSMD10
2099,5612,0.00012331318,ESR1
3552,11191,0.00012305017,IL1A
84617,20033,0.00012303611,TUBB6
5366,17419,0.00012233421,PMAIP1
5516,18374,0.00012230703,PPP2CB
9134,24618,0.00012204855,CCNE2
2249,8048,0.00012189628,FGF4
2308,7992,0.00012187659,FOXO1
5582,14769,0.00012178329,PRKCG
834,20953,0.00012175699,CASP1
1457,4950,0.00012173684,CSNK2A1
8660,24053,0.00012170125,IRS2
2261,5991,0.00012165913,FGFR3
7048,20912,0.00012157808,TGFBR2
5921,18542,0.00012114642,RASA1
9491,24968,0.000121133126,PSMF1
351,10907,0.000121100995,APP
10383,1632,0.000121067504,TUBB4B
1051,5371,0.00012097006,CEBPB
6667,20755,0.000120871104,SP1
3383,10449,0.00012081487,ICAM1
3091,9143,0.00012062528,HIF1A
1462,8531,0.00012013013,VCAN
6352,20048,0.00012012402,CCL5
5711,16901,0.00011992507,PSMD5
3690,10827,0.00011980489,ITGB3
2185,5730,0.00011976054,PTK2B
5155,13893,0.00011965521,PDGFB
467,14786,0.0001196449,ATF3
107,3695,0.00011960028,ADCY1
3162,10868,0.000119339915,HMOX1
7043,19006,0.000119322285,TGFB3
3815,10296,0.000119275646,KIT
6256,16235,0.00011913225,RXRA
6934,18232,0.00011912592,TCF7L2
1281,6322,0.000118771575,COL3A1
5347,13858,0.00011865714,PLK1
4851,13662,0.000118622214,NOTCH1
