Index,Score,ncbi_gene_id,claim_name
6971,0.0006552085569665845,2554,GABRA1
18325,0.0006537332280284027,7916,PRRC2A
16377,0.0006511303177631199,64478,CSMD1
19012,0.0006165797911464264,80862,POLR1HASP
6975,0.0006127826727926293,2555,GABRA2
9296,0.0006061483404493631,327,APEH
8693,0.0006045771515147452,2895,GRID2
1385,0.00059660039321123,10369,CACNG2
7023,0.0005922423420553797,2564,GABRE
13505,0.0005844509009865984,54737,MPHOSPH8
17499,0.0005831374579145012,7166,TPH1
6981,0.0005737351539821341,2557,GABRA4
7993,0.0005540650178463536,2796,GNRH1
15940,0.0005527134002490929,6329,SCN4A
3443,0.0005491890308279977,128553,TSHZ2
6998,0.0005368160892424101,2560,GABRB1
7003,0.0005159168864477561,2561,GABRB2
6026,0.0004972531648656277,22854,NTNG1
6989,0.0004802123391049068,2558,GABRA5
15947,0.0004752939417544347,6336,SCN10A
14432,0.0004589015608538701,55879,GABRQ
4476,0.0004526011912588367,152330,CNTN4
7030,0.00044613908692500904,2566,GABRG2
10897,0.000444063211172976,40,ASIC2
7034,0.00044081850290187053,2567,GABRG3
7575,0.00043363754419335694,2658,GDF2
7014,0.00041833608447217947,2563,GABRD
6977,0.00040321616389653493,2556,GABRA3
18466,0.00038839127149520135,79648,MCPH1
11505,0.00037334104742710344,4295,MLN
6993,0.00034774240635630235,2559,GABRA6
5013,0.00032313417694543073,170680,PSORS1C2
7048,0.0003073624523418582,2570,GABRR2
7041,0.00030247845851737995,2569,GABRR1
15094,0.0002974146180649691,57476,GRAMD1B
8996,0.00028187317477804325,3,A2MP1
7210,0.00027935881243234964,259232,NALCN
7027,0.0002673862193875522,2565,GABRG1
6183,0.0002487433103824208,23040,MYT1L
12622,0.00023183123732882776,51252,FAM178B
9515,0.00019036213172443699,339896,GADL1
6962,0.00018488476882366742,255239,ANKK1
5404,0.00017269674472465745,200959,GABRR3
913,0.0001654990774113685,100885779,LINC-ROR
1173,0.0001654990774113685,101978719,LINC00970
9713,0.00015467896664234196,345222,MSANTD1
8153,0.0001500159355725795,283635,FAM177A1
5012,0.0001496928740295732,170679,PSORS1C1
8122,0.000148676570019003,283446,MYO1H
157,0.00014308289624353286,100130889,PSORS1C3
9198,0.000130629661725834,317749,DHRS4L2
723,0.0001249235647264868,100528032,KLRC4-KLRK1
3005,0.00012397519786736406,119678,OR52E2
3006,0.00010266640466238448,119679,OR52J3
10272,9.22407052712515e-05,3803,KIR2DL2
15071,9.144727664534003e-05,574537,UGT2A2
716,8.945825538830832e-05,100526794,NT5C1B-RDH14
9590,8.7543303379789e-05,341392,ACSM4
729,8.608917414676398e-05,100532731,COMMD3-BMI1
11210,8.504382276441902e-05,406938,MIR146A
10924,8.500531839672476e-05,400550,FENDRR
368,8.439391967840493e-05,100289211,LINC00624
11211,8.384967804886401e-05,406940,MIR148A
390,8.358473132830113e-05,100302167,MIR1299
460,8.358473132830113e-05,100422882,MIR3120
461,8.358473132830113e-05,100422883,MIR4325
463,8.358473132830113e-05,100422905,MIR4311
465,8.358473132830113e-05,100422921,MIR3149
472,8.358473132830113e-05,100423038,MIR466
494,8.358473132830113e-05,100500844,MIR3664
500,8.358473132830113e-05,100500913,MIR3714
748,8.358473132830113e-05,100616143,MIR4763
773,8.358473132830113e-05,100616487,MIR4517
15021,8.358473132830113e-05,574031,MIR363
17299,8.358473132830113e-05,693188,MIR603
11186,8.34395905258134e-05,406913,MIR126
397,8.239887392846867e-05,100302270,MIR1305
759,8.239887392846867e-05,100616323,MIR4482
760,8.239887392846867e-05,100616330,MIR4491
17290,8.239887392846867e-05,693128,MIR548B
17291,8.239887392846867e-05,693129,MIR548C
8213,8.077677193796262e-05,28402,IGHV3-69-1
11292,8.041232649702579e-05,407039,MIR33A
10763,7.962189556565136e-05,391365,SULT6B1
411,7.946124242153019e-05,100313824,MIR663B
754,7.946124242153019e-05,100616263,MIR4485
44,7.890233246143907e-05,100126302,MIR450B
48,7.890233246143907e-05,100126317,MIR374B
11301,7.890233246143907e-05,407050,MIR93
11786,7.890233246143907e-05,442916,MIR371A
15059,7.890233246143907e-05,574456,MIR497
15066,7.890233246143907e-05,574505,MIR450A2
16988,7.890233246143907e-05,664617,MIR542
7326,7.86076852818951e-05,260434,PYDC1
717,7.85084703238681e-05,100526830,SLX1A-SULT1A3
3699,7.837505108909681e-05,135458,HUS1B
11801,7.660867413505912e-05,445329,SULT1A4
11299,7.577869109809399e-05,407048,MIR92A1
2945,7.567320426460356e-05,118142757,GUCA1ANB-GUCA1A
11779,7.522002124460414e-05,442902,MIR330
12186,7.522002124460414e-05,494336,MIR424
17287,7.522002124460414e-05,693122,MIR421
914,7.456149614881724e-05,100885789,IFNG-AS1
11163,7.443437061738223e-05,406888,MIRLET7F1
11293,7.400446338579059e-05,407040,MIR34A
11160,7.385318167507648e-05,406885,MIRLET7C
728,7.369229570031166e-05,100532726,NDUFC2-KCTD14
11192,7.284650928340852e-05,406919,MIR130A
13645,7.26406869944185e-05,54905,CYP2W1
16824,7.226175512187183e-05,653689,GSTT2B
46,7.198570528998971e-05,100126313,MIR744
4697,7.102778181433678e-05,158983,H2BW1
2816,7.098042988218367e-05,115891964,MIR223HG
11179,7.098042988218367e-05,406906,MIR122
18079,7.098042988218367e-05,768212,MIR758
17854,7.045114762149751e-05,7363,UGT2B4
11171,6.940882303752005e-05,406896,MIR103A2
11205,6.940882303752005e-05,406932,MIR140
11229,6.940882303752005e-05,406961,MIR185
394,6.927986396476626e-05,100302203,MIR1271
469,6.927986396476626e-05,100422962,MIR4281
467,6.927740469109267e-05,100422942,MIR3133
473,6.927740469109267e-05,100423043,MIR4269
763,6.927740469109267e-05,100616360,MIR2467
765,6.927740469109267e-05,100616397,MIR4440
770,6.927740469109267e-05,100616417,MIR4786
774,6.927740469109267e-05,100616493,MIR4441
8384,6.927740469109267e-05,285093,RTP5
16801,6.927740469109267e-05,653437,AQP12B
2634,6.836504326201975e-05,113523636,SMIM40
9532,6.771857442799956e-05,340096,H3Y2
10774,6.771857442799956e-05,391769,H3Y1
11185,6.753260095138103e-05,406912,MIR125B2
11233,6.750439933966845e-05,406971,MIR195
11282,6.743936683051288e-05,407026,MIR29C
130,6.707222200930119e-05,100130231,LINC00861
17858,6.689092697342858e-05,7367,UGT2B17
18590,6.672090967185795e-05,79799,UGT2A3
1983,6.66858977638185e-05,10720,UGT2B11
11277,6.648555427091196e-05,407021,MIR29A
8372,6.606942770304158e-05,284958,NT5DC4
711,6.581420166185126e-05,100509927,H2ACP1
222,6.580311310244724e-05,100132417,FCGR1CP
14000,6.580311310244724e-05,552891,DNAJC25-GNG10
42,6.574626604560763e-05,100124700,HOTAIR
11219,6.57271666568704e-05,406950,MIR16-1
441,6.571602716576308e-05,100420848,MSANTD3P1
4077,6.571602716576308e-05,145694,KIF23-AS1
365,6.552390550496057e-05,100289092,ATP2A1-AS1
753,6.552390550496057e-05,100616256,MIR4721
11209,6.500863673863932e-05,406937,MIR145
3195,6.48588320473209e-05,124404,SEPTIN12
11234,6.48393397568725e-05,406973,MIR196A2
16423,6.45929976599291e-05,645432,ARRDC5
4283,6.432921509258449e-05,148870,CCDC27
11166,6.423039303626865e-05,406891,MIRLET7I
4582,6.408499757526442e-05,1551,CYP3A7
8454,6.36040058452636e-05,28558,TRBV29-1
8472,6.36040058452636e-05,28567,TRBV20-1
11270,6.355097139021382e-05,407014,MIR25
17855,6.343236600514501e-05,7364,UGT2B7
11250,6.33827003184706e-05,406991,MIR21
2876,6.303629197645932e-05,116511,MAS1L
11159,6.301594839897007e-05,406884,MIRLET7B
501,6.294913328019902e-05,100500917,MIR3680-1
811,6.294913328019902e-05,100847041,MIR3680-2
3828,6.294913328019902e-05,139420,PPP4R3C
3755,6.291143654379994e-05,137529,CKS1BP7
11288,6.287446012720466e-05,407033,MIR30D
17296,6.287446012720466e-05,693174,MIR589
1569,6.277900683926418e-05,105371564,SMCR2
3906,6.277900683926418e-05,140771,SMCR5
11238,6.275263149291277e-05,406979,MIR19A
13374,6.271335587371141e-05,54490,UGT2B28
750,6.270312587730587e-05,100616173,MIR203B
16791,6.267554999794811e-05,653247,PRB2
5746,6.249452417250723e-05,219970,GLYATL2
11780,6.247834244277328e-05,442905,MIR337
11239,6.244112591957673e-05,406980,MIR19B1
15067,6.244112591957673e-05,574506,MIR503
4493,6.243579264264554e-05,1527,TEX28
5398,6.227176345419139e-05,200909,HTR3D
11245,6.20472346781753e-05,406986,MIR203A
11241,6.177771865623072e-05,406982,MIR20A
756,6.173436850076541e-05,100616275,MIR4508
9417,6.173436850076541e-05,338427,SNORD108
9418,6.173436850076541e-05,338428,SNORD109A
9419,6.173436850076541e-05,338429,SNORD109B
9775,6.173436850076541e-05,347686,SNORD64
16768,6.173436850076541e-05,653061,GOLGA8S
18299,6.173436850076541e-05,791115,PWRN2
11774,6.153801223263144e-05,442892,MIR148B
1510,6.130884867161512e-05,104909134,LINC02210-CRHR1
11280,6.129532994236797e-05,407024,MIR29B1
17286,6.100640166550875e-05,693120,MIR33B
4678,6.085638597141951e-05,158584,FAAH2
19566,6.083802873035893e-05,84070,FAM186B
11999,6.071088137105107e-05,474381,H2AB2
53,6.068378934287466e-05,100126337,MIR509-3
8542,6.061074964236468e-05,28616,TRBV4-2
8549,6.061074964236468e-05,28620,TRBV2
17288,6.043355824658647e-05,693123,MIR449B
6999,6.0226528148632497e-05,256006,ANKRD31
11262,6.0226528148632497e-05,407004,MIR22
1836,6.0192942328285426e-05,106480800,UBL5P4
11174,6.011195364408195e-05,406900,MIR106B
9566,5.975419480819255e-05,340562,SATL1
2372,5.9638943639583886e-05,111240474,CRYZL2P-SEC16B
4958,5.949602564214729e-05,168400,DDX53
1952,5.93605000176467e-05,106821730,BUB1B-PAK6
3680,5.919140312471427e-05,134860,TAAR9
10571,5.91835705563426e-05,389493,NUPR2
4300,5.901017357246019e-05,149233,IL23R
10565,5.8986763178836554e-05,389396,GLYATL3
4648,5.8984885981772095e-05,1581,CYP7A1
15536,5.8889934734907e-05,59284,CACNG7
9948,5.888907253392972e-05,3593,IL12B
20762,5.879093805560842e-05,9038,TAAR5
11236,5.875754141015932e-05,406977,MIR199A2
11165,5.8746765716932714e-05,406890,MIRLET7G
9947,5.874499038327485e-05,3592,IL12A
17678,5.872014298802242e-05,728655,HULC
314,5.864972990821116e-05,100287029,DDX11L10
5837,5.8558114687912166e-05,221357,GSTA5
9927,5.851971582160331e-05,3567,IL5
4146,5.850140587426722e-05,146850,PIK3R6
3994,5.8497796999290586e-05,143678,FREY1
4798,5.8497796999290586e-05,162540,SPPL2C
462,5.8328048908151686e-05,100422895,MIR4294
8043,5.8328048908151686e-05,282966,C10orf53
16931,5.828751454828307e-05,66002,CYP4F12
9800,5.8154400903731585e-05,348158,ACSM2B
9139,5.810648144688457e-05,3118,HLA-DQA2
17143,5.8100398746319115e-05,6783,SULT1E1
7772,5.8087312936550006e-05,27091,CACNG5
2797,5.807179695693776e-05,115653,KIR3DL3
11218,5.80133382754866e-05,406949,MIR15B
11295,5.7954079238697886e-05,407042,MIR34C
11208,5.7918980019167066e-05,406935,MIR143
749,5.790189607068896e-05,100616165,MIR4771-2
761,5.790189607068896e-05,100616341,MIR4435-2
4573,5.7840297813527286e-05,1549,CYP2A7
4585,5.780329229310155e-05,1553,CYP2A13
11300,5.7777768233790994e-05,407049,MIR92A2
413,5.7748446124605834e-05,100313923,MIR449C
8321,5.7740089687285945e-05,284541,CYP4A22
342,5.773572775069624e-05,100288072,SDR42E2
15044,5.763046647189185e-05,574406,ADAMTSL4-AS1
11275,5.762041837442666e-05,407019,MIR27B
11235,5.75813974137418e-05,406976,MIR199A1
4331,5.756696191383526e-05,15,AANAT
3076,5.744103327742778e-05,121340,SP7
15577,5.7392051530769095e-05,594857,NPS
228,5.734717706218362e-05,100132596,XGY2
1666,5.726092786062509e-05,10599,SLCO1B1
4510,5.720341141568497e-05,153218,SPINK13
11626,5.718418105971068e-05,440459,SLC16A6P1
3735,5.716000305255875e-05,136541,PRSS58
10273,5.711698031518608e-05,3804,KIR2DL3
11254,5.709239121642895e-05,406995,MIR181A1
14386,5.7019631640287116e-05,5582,PRKCG
9941,5.701670306734741e-05,3586,IL10
5568,5.696146399714053e-05,207,AKT1
2185,5.692521153832786e-05,10941,UGT2A1
15596,5.690388934453949e-05,5970,RELA
15506,5.686437361873686e-05,59067,IL21
15491,5.686433723894879e-05,5894,RAF1
4653,5.679161404259503e-05,1582,CYP8B1
3177,5.6771677918732166e-05,124,ADH1A
9065,5.673160922015086e-05,3062,HCRTR2
9730,5.6640034017618746e-05,3458,IFNG
10637,5.663802585331723e-05,390110,ACCSL
16855,5.663802585331723e-05,654502,IQCJ
13090,5.659880116581917e-05,5290,PIK3CA
15130,5.659862654283643e-05,57521,RPTOR
1967,5.6569995649624616e-05,107075125,MTCYBP5
8500,5.6569995649624616e-05,28586,TRBV9
11875,5.6569995649624616e-05,4611,MYCLP1
14471,5.65464397368487e-05,5595,MAPK3
457,5.6482997024431825e-05,100422832,MIR3191
519,5.6482997024431825e-05,100505676,RRS1-DT
2682,5.6482997024431825e-05,114599,SNORD15B
15704,5.6482997024431825e-05,606,NBEAP1
17113,5.6482997024431825e-05,677766,SCARNA2
17114,5.6482997024431825e-05,677767,SCARNA7
17275,5.6482997024431825e-05,692223,SNORD97
6817,5.640150629915297e-05,2488,FSHB
4636,5.639966548187658e-05,1579,CYP4A11
